date,new_patients,er,hospitalized,icu,recovered,dead
2020-06-27,7.966532148474623e-05,0,7.04783657922204e-05,0.00013861328999626544,33499999.99921434,6499999.999862457
2020-06-28,7.37801773979576e-05,0,6.508451517275374e-05,0.00012537768999017456,33499999.999243654,6499999.999866529
2020-06-29,6.841093310027035e-05,0,6.0184477890633335e-05,0.00011371112951482967,33499999.99927016,6499999.9998702705
2020-06-30,6.350366306972092e-05,0,5.572425642446828e-05,0.00010339004431037562,33499999.9992942,6499999.999873714
2020-07-01,5.901100916854732e-05,0,5.16567184450046e-05,9.422768519751955e-05,33499999.999316063,6499999.999876887
2020-07-02,5.489127577463641e-05,0,4.794061158848813e-05,8.606731476441752e-05,33499999.999335986,6499999.999879816
2020-07-03,5.110766282111894e-05,0,4.453973440196233e-05,7.877678707646308e-05,33499999.99935419,6499999.999882522
2020-07-04,4.762761384318505e-05,0,4.1422236513399534e-05,7.224420548511657e-05,33499999.99937086,6499999.999885026
2020-07-05,4.442226023050937e-05,0,3.8560026087517804e-05,6.637442574428527e-05,33499999.999386158,6499999.999887347
2020-07-06,4.1465946198650644e-05,0,3.5928266642033295e-05,6.108622562151482e-05,33499999.999400217,6499999.9998894995
2020-07-07,3.873582168273209e-05,0,3.3504948528247655e-05,5.631000284392946e-05,33499999.999413166,6499999.999891499
2020-07-08,3.6211492546764384e-05,0,3.127052298709447e-05,5.1985894024080005e-05,33499999.99942511,6499999.999893358
2020-07-09,3.387471929084459e-05,0,2.9207588804243403e-05,4.8062230692512065e-05,33499999.999436144,6499999.999895088
2020-07-10,3.170915690425697e-05,0,2.7300623305305542e-05,4.449426656532476e-05,33499999.99944635,6499999.999896699
2020-07-11,2.9700129717263593e-05,0,2.5535750833097487e-05,4.124312405121418e-05,33499999.999455806,6499999.9998982
2020-07-12,2.783443609754909e-05,0,2.3900542995320035e-05,3.827491875560754e-05,33499999.999464575,6499999.999899601
2020-07-13,2.6100178658418908e-05,0,2.2383845912068215e-05,3.556002911507343e-05,33499999.999472715,6499999.999900909
2020-07-14,2.4486616326670583e-05,0,2.0975630467442113e-05,3.3072484851145274e-05,33499999.999480285,6499999.999902132
2020-07-15,2.2984035184096365e-05,0,1.9666862209418023e-05,3.0789453088820815e-05,33499999.999487333,6499999.999903275
2020-07-16,2.1583635468450186e-05,0,1.8449388072096013e-05,2.8690805058868346e-05,33499999.999493893,6499999.999904344
2020-07-17,2.02774325141166e-05,0,1.7315837534581137e-05,2.675874953617679e-05,33499999.999500014,6499999.999905346
2020-07-18,1.9058169743213767e-05,0,1.6259536197300368e-05,2.4977521743287234e-05,33499999.999505725,6499999.999906284
2020-07-19,1.7919242095491324e-05,0,1.5274430062623476e-05,2.3333118510674132e-05,33499999.99951106,6499999.999907163
2020-07-20,1.6854628519168373e-05,0,1.435501906288428e-05,2.1813072142665322e-05,33499999.999516044,6499999.999907988
2020-07-21,1.5858832342186537e-05,0,1.3496298593944732e-05,2.0406256774864857e-05,33499999.999520708,6499999.999908762
2020-07-22,1.492682851029515e-05,0,1.2693707993371515e-05,1.9102722091563522e-05,33499999.999525074,6499999.9999094885
2020-07-23,1.4054016819938171e-05,0,1.1943085054880176e-05,1.7893550151483268e-05,33499999.99952916,6499999.99991017
2020-07-24,1.3236180394198089e-05,0,1.124062579968619e-05,1.6770731787812283e-05,33499999.99953299,6499999.999910812
2020-07-25,1.246944875248602e-05,0,1.0582848834683836e-05,1.5727059635776613e-05,33499999.99953658,6499999.999911415
2020-07-26,1.1750264912079104e-05,0,9.966563720167721e-06,1.475603532323055e-05,33499999.999539953,6499999.999911983
2020-07-27,1.1075356034351898e-05,0,9.388842848776233e-06,1.385178875700267e-05,33499999.999543115,6499999.999912515
2020-07-28,1.0441707192589117e-05,0,8.846996404673876e-06,1.3009007766009158e-05,33499999.99954609,6499999.999913016
2020-07-29,9.846537893242714e-06,0,8.338550029530569e-06,1.2222876634244809e-05,33499999.99954888,6499999.999913489
2020-07-30,9.287281029778612e-06,0,7.861224871124459e-06,1.1489022282964168e-05,33499999.9995515,6499999.999913934
2020-07-31,8.761563988999401e-06,0,7.4129197326625015e-06,1.0803467049952762e-05,33499999.999553967,6499999.999914353
2020-08-01,8.267191664896787e-06,0,6.991695077244235e-06,1.0162587171453862e-05,33499999.999556288,6499999.999914748
2020-08-02,7.802131165497316e-06,0,6.595758673180467e-06,9.563076204488022e-06,33499999.99955847,6499999.999915119
2020-08-03,7.364498024505638e-06,0,6.223452692869905e-06,9.001912738394033e-06,33499999.99956053,6499999.999915469
2020-08-04,6.952543752404042e-06,0,5.8732421012637196e-06,8.476331838032743e-06,33499999.999562465,6499999.9999158
2020-08-05,6.5646445815284575e-06,0,5.543704190143078e-06,7.983799740175689e-06,33499999.999564286,6499999.999916113
2020-08-06,6.199291276929907e-06,0,5.233519131948047e-06,7.521991391566466e-06,33499999.999566,6499999.999916407
2020-08-07,5.8550798999021825e-06,0,4.941461442108776e-06,7.088770473983675e-06,33499999.999567617,6499999.999916685
2020-08-08,5.5307034242164025e-06,0,4.666392252065391e-06,6.68217160999173e-06,33499999.999569144,6499999.999916946
2020-08-09,5.224944116610135e-06,0,4.407252306696304e-06,6.30038448429752e-06,33499999.999570586,6499999.999917192
2020-08-10,4.9366666031554015e-06,0,4.163055609940346e-06,5.941739650863441e-06,33499999.99957194,6499999.999917426
2020-08-11,4.664811551966376e-06,0,3.932883651195816e-06,5.604695826096994e-06,33499999.99957322,6499999.999917647
2020-08-12,4.408389910467294e-06,0,3.715880152780583e-06,5.287828494324769e-06,33499999.999574427,6499999.999917855
2020-08-13,4.166477642264488e-06,0,3.5112462854877966e-06,4.989819674016292e-06,33499999.999575567,6499999.999918051
2020-08-14,3.938210914674513e-06,0,3.3182363051974537e-06,4.70944871239751e-06,33499999.999576643,6499999.999918236
2020-08-15,3.7227816932573135e-06,0,3.13615356871274e-06,4.445583992642816e-06,33499999.99957766,6499999.9999184115
2020-08-16,3.519433704379438e-06,0,2.9643468915746992e-06,4.197175452144557e-06,33499999.999578618,6499999.999918577
2020-08-17,3.3274587309653164e-06,0,2.8022072146494025e-06,3.96324782275514e-06,33499999.999579523,6499999.999918734
2020-08-18,3.1461932102522106e-06,0,2.649164549847561e-06,3.7428945146538624e-06,33499999.999580376,6499999.999918882
2020-08-19,2.9750151056051427e-06,0,2.5046851784871555e-06,3.5352720748413697e-06,33499999.999581184,6499999.9999190215
2020-08-20,2.813341027322781e-06,0,2.368269078596976e-06,3.339595159406431e-06,33499999.999581948,6499999.999919153
2020-08-21,2.660623579918361e-06,0,2.239447559927814e-06,3.1551319658105016e-06,33499999.99958267,6499999.999919277
2020-08-22,2.516348915629591e-06,0,2.117781087627455e-06,2.981200077638129e-06,33499999.999583352,6499999.999919395
2020-08-23,2.380034475932044e-06,0,2.0028572774794302e-06,2.817162679687812e-06,33499999.999583997,6499999.999919507
2020-08-24,2.2512269046309937e-06,0,1.8942890473333079e-06,2.6624251060325882e-06,33499999.999584604,6499999.999919612
2020-08-25,2.12950011771281e-06,0,1.7917129108918122e-06,2.516431687851822e-06,33499999.99958518,6499999.999919713
2020-08-26,2.0144535165713698e-06,0,1.6947874013897635e-06,2.3786628715020507e-06,33499999.999585725,6499999.999919807
2020-08-27,1.9057103325072919e-06,0,1.6031916139214187e-06,2.2486325805210976e-06,33499999.99958624,6499999.999919895
2020-08-28,1.8029160915453187e-06,0,1.5166238562634098e-06,2.1258857981028503e-06,33499999.999586724,6499999.99991998
2020-08-29,1.7057371896432948e-06,0,1.4348003990152551e-06,2.009996349088865e-06,33499999.999587182,6499999.99992006
2020-08-30,1.613859569288133e-06,0,1.3574543167515535e-06,1.9005648627397176e-06,33499999.999587614,6499999.999920135
2020-08-31,1.5269874893018431e-06,0,1.2843344126611245e-06,1.7972168995101499e-06,33499999.999588024,6499999.999920207
2020-09-01,1.4448423804244528e-06,0,1.2152042198486986e-06,1.6996012267893926e-06,33499999.999588415,6499999.999920274
2020-09-02,1.3671617799097085e-06,0,1.1498410731033569e-06,1.6073882301089116e-06,33499999.99958878,6499999.999920338
2020-09-03,1.2936983389718578e-06,0,1.0880352455026415e-06,1.5202684476882103e-06,33499999.999589127,6499999.9999204
2020-09-04,1.2242188974648243e-06,0,1.0295891447291453e-06,1.4379512174059556e-06,33499999.999589454,6499999.999920457
2020-09-05,1.1585036206649916e-06,0,9.743165644336174e-07,1.3601634263666899e-06,33499999.999589764,6499999.999920511
2020-09-06,1.0963451934712586e-06,0,9.220419863906383e-07,1.2866483541985631e-06,33499999.999590054,6499999.999920562
2020-09-07,1.0375480677360174e-06,0,8.725999295645847e-07,1.2171646020786852e-06,33499999.999590334,6499999.99992061
2020-09-08,9.819277588026435e-07,0,8.258343425392026e-07,1.1514851002519007e-06,33499999.999590594,6499999.999920655
2020-09-09,9.293101876529308e-07,0,7.815980360674187e-07,1.0893961874966763e-06,33499999.999590844,6499999.999920699
2020-09-10,8.795310653651668e-07,0,7.397521527724449e-07,1.0306967566075687e-06,33499999.999591075,6499999.99992074
2020-09-11,8.32435316853288e-07,0,7.001656712797493e-07,9.751974605156532e-07,33499999.9995913,6499999.999920779
2020-09-12,7.878765411026455e-07,0,6.627149422847435e-07,9.227199741634209e-07,33499999.99959151,6499999.999920815
2020-09-13,7.457165053407298e-07,0,6.272832542654565e-07,8.730963076953747e-07,33499999.999591712,6499999.99992085
2020-09-14,7.058246707840498e-07,0,5.937604267351244e-07,8.261681669254019e-07,33499999.999591902,6499999.999920882
2020-09-15,6.680777477871293e-07,0,5.620424290984186e-07,7.817863574018721e-07,33499999.999592084,6499999.999920913
2020-09-16,6.323592783881108e-07,0,5.32031023328642e-07,7.3981022871567e-07,33499999.999592256,6499999.999920943
2020-09-17,5.985592443992636e-07,0,5.036334288231348e-07,7.001071559888218e-07,33499999.999592416,6499999.999920971
2020-09-18,5.665736993312395e-07,0,4.7676200792171125e-07,6.625520557454187e-07,33499999.99959257,6499999.999920997
2020-09-19,5.363044225684278e-07,0,4.5133397068936794e-07,6.270269336051915e-07,33499999.999592714,6499999.999921022
2020-09-20,5.076585943304345e-07,0,4.272710976708637e-07,5.934204614559916e-07,33499999.99959285,6499999.999921045
2020-09-21,4.805484900624772e-07,0,4.044994794220187e-07,5.616275819569682e-07,33499999.999592982,6499999.999921068
2020-09-22,4.5489119299636295e-07,0,3.829492717115836e-07,5.315491384014969e-07,33499999.999593105,6499999.999921089
