,S,E,E_delta,I,I_delta,R,E+I
2020-03-06,1439278555.2635424,8277.781467168594,3954.1663265938946,5831.116139947498,3232.423886075093,31109.838850402884,14108.89760711609
2020-03-07,1439274223.4075537,9068.456892363762,4331.8559886906405,6388.099635683238,3541.1805634954726,34094.03591816262,15456.556528047
2020-03-08,1439269477.790469,9934.647657892434,4745.617084706357,6998.28079770057,3879.426319177684,37363.28107532297,16932.928455593003
2020-03-09,1439264278.8966968,10883.564388465835,5198.89377222849,7666.739561442348,4249.977041655089,40944.79935323628,18550.303949908182
2020-03-10,1439258583.4378068,11923.105889510469,5695.458889882091,8399.04075580974,4655.917388837458,44868.41554770635,20322.14664532021
2020-03-11,1439252343.9925175,13061.92476098203,6239.445289297835,9201.28034786657,5100.6264178262745,49166.80237347579,22263.2051088486
2020-03-12,1439245508.6123705,14309.499253833092,6835.380146924598,10080.136089996511,5587.805654073538,53875.75228541939,24389.635343829603
2020-03-13,1439238020.3898327,15676.211960426408,7488.222537700175,11042.922987031014,6121.50983110686,59034.475219491746,26719.134947457424
2020-03-14,1439229816.9852538,17173.43598566005,8203.404579005275,12097.654040143037,6706.180553771635,64685.92472015136,29271.09002580309
2020-03-15,1439220830.1087716,18813.62930614254,8986.876482155098,13253.106767209421,7346.683161672608,70877.15515475758,32066.73607335196
2020-03-16,1439210984.9528913,20610.43809087212,9845.155880139064,14518.896046205882,8048.34709540948,77659.7129711706,35129.334137078
2020-03-17,1439200199.5710566,22578.80982901595,10785.381834628972,15905.553879361545,8817.010096485143,85090.06523450007,38484.363708377496
2020-03-18,1439188384.197094,24735.11718906959,11815.373962680509,17424.6167316408,9659.06660262687,93230.06898484769,42159.733920710394
2020-03-19,1439175440.4999297,27097.293619460674,12943.69716431263,19088.72115804428,10581.520733921549,102147.48529236576,46186.014777504955
2020-03-20,1439161260.7674532,29684.981794137562,14179.732476540516,20911.708500663088,11592.044301863627,111916.54225161058,50596.69029480065
2020-03-21,1439145727.0128255,32519.696108489494,15533.754627755256,22908.739508848405,12699.040313403326,122618.55155682858,55428.4356173379
2020-03-22,1439128709.9959066,35625.0005417551,17017.016918900008,25096.419814771758,13911.712485634398,134342.58373653961,60721.420356526854
