date,new_patients,er,hospitalized,icu,recovered,dead
2020-07-20,15789.658622939309,0,16636.931409842753,64573.254578051994,18439656.129950076,3587047.969691011
2020-07-21,13485.504976590628,0,14211.125004028087,55330.81681989045,18452783.424941294,3588286.01985909
2020-07-22,11517.096021646823,0,12138.251609845782,47387.084888782876,18464045.612889938,3589343.8564400636
2020-07-23,9835.643788832966,0,10367.171231438915,40566.0305607809,18473701.116314728,3590247.616479451
2020-07-24,8399.413408093575,0,8854.097522716256,34713.75040614941,18481974.297274135,3591019.672065019
2020-07-25,7172.713353685807,0,7561.555732328232,29696.15855596627,18489059.479987983,3591679.1656624796
2020-07-26,6125.02755693461,0,6457.484119379829,25396.784016367183,18495124.62607794,3592242.4712364604
2020-07-27,5230.2701941355135,0,5514.4602452531335,21714.71360787738,18500314.654713646,3592723.5909221964
2020-07-28,4466.1463472881205,0,4709.035629021406,18562.702737848853,18504754.414516535,3593134.4958750275
2020-07-29,3813.6038873828825,0,4021.1642009148027,15865.46273603442,18508551.323722832,3593485.418876129
2020-07-30,3256.363849009997,0,3433.7117752134313,13558.124191772247,18511797.701017726,3593785.105321002
2020-07-31,2780.5182633696777,0,2932.035381178691,11584.869609680842,18514572.812604643,3594041.0283628814
2020-08-01,2374.1859105958674,0,2503.622738647744,9897.724923218788,18516944.66225546,3594259.5732231797
2020-08-02,2027.2177598068008,0,2137.7834505255464,8455.497319987546,18518971.550912246,3594446.195009708
2020-08-03,1730.9450050975086,0,1825.38461818274,7222.845936831934,18520703.431344755,3594605.5537937167
2020-08-04,1477.963596002666,0,1558.6245802316405,6169.471897486162,18522183.0817537,3594741.6301812665
2020-08-05,1261.9500190233684,0,1330.839343579694,5269.4146101504,18523447.120297335,3594857.824165426
2020-08-06,1077.5038285867533,0,1136.337031278327,4500.442013303945,18524526.88048164,3594957.0396559807
2020-08-07,920.0130658262938,0,970.256327181251,3843.5234104394626,18525449.16531199,3595041.756745763
2020-08-08,785.5392549055092,0,828.445464652451,3282.374567631206,18526236.896133002,3595114.093481066
2020-08-09,670.719140906304,0,707.3587963879968,2803.065794025235,18526909.67023209,3595175.8586520315
2020-08-10,572.6807408649962,0,603.9684046642409,2393.684740367564,18527484.239575375,3595228.5969023015
2020-08-11,488.9716294179632,0,515.6885747889223,2044.04660752363,18527974.921495363,3595273.627270916
2020-08-12,417.49768063461164,0,440.3112670101701,1745.445340538606,18528393.950757783,3595312.076119385
2020-08-13,356.4707448684648,0,375.9509905046135,1490.440187346536,18528751.78119633,3595344.905259512
2020-08-14,304.36395984047334,0,320.9977133447388,1272.6727234905632,18529057.34400911,3595372.935979714
2020-08-15,259.8735838727464,0,274.0766397959013,1086.7100874694172,18529318.268848527,3595396.869566643
2020-08-16,221.88640070145541,0,234.01385548842518,927.9107400584671,18529541.072994646,3595417.304832387
2020-08-17,189.4518834839122,0,199.8069859158203,792.3095608576502,18529731.32316899,3595434.753083513
2020-08-18,161.75842380906255,0,170.60013775690996,676.5195326304512,18529893.773908813,3595449.650904835
2020-08-19,138.11303258897223,0,145.66249866918477,577.6476450594622,18530032.485870276,3595462.37107655
2020-08-20,117.92400611367054,0,124.37006200532339,493.2229805181842,18530150.926952202,3595473.2318970505
2020-08-21,100.68612440653088,0,106.19002056108471,421.135231158257,18530252.058720887,3595482.5051440517
2020-08-22,85.96801213490349,0,90.6674398587334,359.58214440328686,18530338.41026205,3595490.422872775
2020-08-23,73.40134626461922,0,77.4138782270669,307.02460770381134,18530412.141281437,3595497.183220971
2020-08-24,62.671640728102226,0,66.0976694479364,262.148267525681,18530475.09601371,3595502.9553658026
2020-08-25,53.51037774361011,0,56.43562519242734,223.83073591756826,18530528.849274483,3595507.883756444
2020-08-26,45.68828905274592,0,48.1859498893596,191.11357407989703,18530574.745797686,3595512.0917281914
2020-08-27,39.00961906915399,0,41.142190929497175,163.17835916584417,18530613.93383513,3595515.684588435
2020-08-28,33.307226466785565,0,35.12807295982213,139.32624073336288,18530647.39385362,3595518.7522516423
2020-08-29,28.438401691443378,0,29.9930871043233,118.96047914192471,18530675.963043794,3595521.371489251
2020-08-30,24.281295776087514,0,25.608724809194918,101.57153175145599,18530700.356251147,3595523.6078507407
2020-08-31,20.731871124433557,0,21.86526211994806,86.7243157678502,18530721.18385086,3595525.517303927
2020-09-01,17.701297979700147,0,18.669013956529984,74.04733048779588,18530738.967012312,3595527.1476355135
2020-09-02,15.113731441520716,0,15.939989702740256,63.22336781768797,18530754.1507341,3595528.539646938
2020-09-03,12.904413412176547,0,13.60989146085023,53.981579389856336,18530767.114974964,3595529.7281754278
2020-09-04,11.01805198105639,0,11.620404891595562,46.09070233122769,18530778.18415861,3595530.7429658077
2020-09-05,9.407437696589184,0,9.921739877418908,39.3532745769524,18530787.63528984,3595531.6094148834
2020-09-06,8.03226210121364,0,8.47138449564593,33.60069527007451,18530795.70488482,3595532.349207013
2020-09-07,6.8581089653327,0,7.233041124217728,28.689006853132494,18530802.59488864,3595532.9808567767
2020-09-08,5.855592977132558,0,6.175718058961129,24.49529345727006,18530808.477728143,3595533.520172327
2020-09-09,4.999624334643502,0,5.272953911999196,20.914605573239907,18530813.500626367,3595533.980651003
2020-09-10,4.268780836733159,0,4.502155383020792,17.857334126930386,18530817.789286386,3595534.373817121
2020-09-11,3.644771759629286,0,3.84403183178314,15.246968305222172,18530821.451036844,3595534.7095103865
2020-09-12,3.1119801023434728,0,3.2821125023347557,13.018181064552026,18530824.577517673,3595534.9961321456
2020-09-13,2.6570717454552786,0,2.802334317583164,11.11519444267897,18530827.246973332,3595535.2408556454
2020-09-14,2.26866174217436,0,2.3926899287127927,9.490383787451814,18530829.52621082,3595535.449805552
2020-09-15,1.9370293903140268,0,2.0429272117499226,8.10308598894895,18530831.47227153,3595535.628211233
2020-09-16,1.6538749545518316,0,1.744292690988305,6.9185819019918045,18530833.133858733,3595535.7805376295
2020-09-17,1.4121119506630648,0,1.4893124682362435,5.90722750187778,18530834.552556373,3595535.910597001
2020-09-18,1.2056897933702109,0,1.2716051754234834,5.04371203588592,18530835.76386976,3595536.0216443334
2020-09-19,1.0294423693232748,0,1.0857222694958206,4.306424609507412,18530836.7981141,3595536.1164587988
2020-09-20,0.8789587455260367,0,0.9270116727776222,3.676913358745144,18530837.681173183,3595536.1974133127
2020-09-21,0.7504727774864854,0,0.7915013462178202,3.13942367595427,18530838.435147144,3595536.2665339187
2020-09-22,0.6407688543579014,0,0.6757998817720456,2.680503934421811,18530839.078905545,3595536.3255504933
2020-09-23,0.5471014221863875,0,0.5770116260944722,2.2886688456293167,18530839.628559627,3595536.37594004
2020-09-24,0.4671262711971024,0,0.49266421137554633,1.9541120251181816,18530840.097865503,3595536.4189636568
2020-09-25,0.3988418674639833,0,0.42064667966623837,1.6684605741307157,18530840.498568423,3595536.455698092
2020-09-26,0.34053926068405205,0,0.35915665214587333,1.4245655355171067,18530840.840696737,3595536.487062697
2020-09-27,0.2907593144082529,0,0.3066552211534261,1.216322980069027,18530841.132812854,3595536.5138424323
2020-09-28,0.2482561883374135,0,0.26182843607608,1.0385212459154183,18530841.38222753,3595536.5367075126
2020-09-29,0.21196615876053346,0,0.22355441921059463,0.8867105080661835,18530841.595182847,3595536.556230181
2020-09-30,0.18098099680890556,0,0.19087528861233294,0.7570914139858816,18530841.77700842,3595536.5728990305
2020-10-01,0.15452523826701742,0,0.16297318524977777,0.646419998200976,18530841.932254788,3595536.587131232
2020-10-02,0.13193677607438833,0,0.13914980449969805,0.5519264963273637,18530842.064807285,3595536.599282974
2020-10-03,0.112650289808904,0,0.11880891972042164,0.47124602674212074,18530842.177983295,3595536.609658377
2020-10-04,0.09618309744290153,0,0.10144146052277686,0.4023594051176775,18530842.274615265,3595536.6185171055
