,S,E,E_delta,I,I_delta,R,E+I
2020-05-23,0.031596030977022044,0.005607246771834721,0.005119007573142704,27077260.11845289,0.006463379795214114,172922739.84434387,27077260.12406014
2020-05-24,0.027425122068852337,0.004564727624809507,0.004170908908169705,25636640.16124842,0.005213428055194919,174363359.80676177,25636640.165813148
2020-05-25,0.02399741946834441,0.0037483011488083987,0.003427702600507925,24272667.022565518,0.004244129076509034,175727332.9496888,24272667.02631382
2020-05-26,0.02115769961215687,0.003102977602470074,0.002839719856187541,22981262.781276166,0.0034850434025258657,177018737.1944632,22981262.784379143
2020-05-27,0.01878722235630679,0.002588411423346504,0.002370477255850079,21758566.478130024,0.0028850434349736494,178241433.5004944,21758566.480718434
2020-05-28,0.01679431866369164,0.002174697879023784,0.0019929036926151517,20600922.57251697,0.0024066172369378715,179399077.40851405,20600922.57469167
2020-05-29,0.01510760052087108,0.001839455620346667,0.0016867181428205594,19504870.01337274,0.0020219604014976764,180495129.96968025,19504870.015212197
2020-05-30,0.013671013263073335,0.0015657793695770103,0.0014365872577977452,18467131.891553964,0.001710263508567402,181532868.0932093,18467131.893119745
2020-05-31,0.012440195904462707,0.0013407881244712017,0.0012308173586106275,17484605.642746866,0.001455808603716436,182515394.3434722,17484605.644087654
2020-06-01,0.011379779303502145,0.0011545853579194004,0.001060416600960562,16554353.771619592,0.0012466193675123632,183445646.21584612,16554353.772774177
2020-06-02,0.010461363118503734,0.0009995071985401853,0.0009184161849984101,15673595.069486232,0.001073494344377625,184326404.919053,15673595.070485739
2020-06-03,0.009661988496499253,0.0008695738941639514,0.0007993746220044807,14839696.299226029,0.0009293079263807146,185160303.6902425,14839696.300095603
2020-06-04,0.008962975925480106,0.0007600861226137148,0.000699012571019147,14050164.32259805,0.0008085003425693835,185949835.66767898,14050164.323358135
2020-06-05,0.008349034284750787,0.0006673254409299848,0.0006139416407293184,13302638.646414258,0.0007067023224130484,186697361.34456947,13302638.647081584
2020-06-06,0.007807572892576232,0.0005883302494626288,0.0005414613921745546,12594884.365286093,0.0006204565836419105,187405115.6263181,12594884.365874423
2020-06-07,0.007328166645271676,0.0005207269655164878,0.000479406247304556,11924785.479845338,0.000547009531250697,188075214.51230586,11924785.480366064
2020-06-08,0.006902137443016967,0.00046260187929641203,0.00042602920225470926,11290338.570462532,0.00048415428847478506,188709661.4221728,11290338.570925133
2020-06-09,0.00652222455570399,0.00041240321381952035,0.0003799128873129766,10689646.807549108,0.0004301115527898683,189310353.18551636,10689646.80796151
