date,location,new_cases,new_deaths,total_cases,total_deaths,countriesAndTerritories,location_demography,continent,population_year,population,total_cases_per_capita,total_deaths_per_capita,EN.ATM.CO2E.PC,NY.GDP.MKTP.CD,NY.GNP.PCAP.CD,SE.PRM.ENRR,SE.PRM.TENR,SP.DYN.LE00.IN,SP.POP.TOTL
2020-03-23,Ireland,121,1,906,4,Ireland,Ireland,Europe,2020.0,4937796.0,0.00018348267121606483,8.100780186139728e-07,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-24,Ireland,219,2,1125,6,Ireland,Ireland,Europe,2020.0,4937796.0,0.00022783444273517982,1.215117027920959e-06,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-25,Ireland,204,1,1329,7,Ireland,Ireland,Europe,2020.0,4937796.0,0.0002691484216844924,1.4176365325744522e-06,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-26,Ireland,235,2,1564,9,Ireland,Ireland,Europe,2020.0,4937796.0,0.00031674050527806335,1.8226755418814386e-06,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-27,Ireland,255,10,1819,19,Ireland,Ireland,Europe,2020.0,4937796.0,0.0003683829789647041,3.8478705884163706e-06,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-28,Ireland,302,3,2121,22,Ireland,Ireland,Europe,2020.0,4937796.0,0.000429543869370059,4.45542910237685e-06,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-29,Ireland,294,14,2415,36,Ireland,Ireland,Europe,2020.0,4937796.0,0.000489084603738186,7.2907021675257545e-06,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-30,Ireland,200,10,2615,46,Ireland,Ireland,Europe,2020.0,4937796.0,0.0005295885046688847,9.315897214060686e-06,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-03-31,Ireland,295,8,2910,54,Ireland,Ireland,Europe,2020.0,4937796.0,0.0005893317585416651,1.0936053251288631e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-01,Ireland,325,17,3235,71,Ireland,Ireland,Europe,2020.0,4937796.0,0.0006551505975540505,1.4378884830398016e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-02,Ireland,212,14,3447,85,Ireland,Ireland,Europe,2020.0,4937796.0,0.000698084732540591,1.721415789554692e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-03,Ireland,402,13,3849,98,Ireland,Ireland,Europe,2020.0,4937796.0,0.0007794975734112952,1.984691145604233e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-04,Ireland,424,22,4273,120,Ireland,Ireland,Europe,2020.0,4937796.0,0.0008653658433843763,2.430234055841918e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-05,Ireland,331,17,4604,137,Ireland,Ireland,Europe,2020.0,4937796.0,0.0009323997994246826,2.7745172137528565e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-06,Ireland,507,21,5111,158,Ireland,Ireland,Europe,2020.0,4937796.0,0.0010350771882840035,3.199808173525192e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-07,Ireland,253,16,5364,174,Ireland,Ireland,Europe,2020.0,4937796.0,0.0010863146229613374,3.5238393809707816e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-08,Ireland,345,36,5709,210,Ireland,Ireland,Europe,2020.0,4937796.0,0.0011561838520667926,4.2529095977233565e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-09,Ireland,515,25,6224,235,Ireland,Ireland,Europe,2020.0,4937796.0,0.0012604813969633415,4.7592083593570896e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-10,Ireland,1169,28,7393,263,Ireland,Ireland,Europe,2020.0,4937796.0,0.001497226697903275,5.3262629723868705e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-11,Ireland,696,24,8089,287,Ireland,Ireland,Europe,2020.0,4937796.0,0.0016381802731421063,5.8123097835552545e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-12,Ireland,839,33,8928,320,Ireland,Ireland,Europe,2020.0,4937796.0,0.0018080941375463871,6.480624148911782e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-13,Ireland,727,14,9655,334,Ireland,Ireland,Europe,2020.0,4937796.0,0.0019553258174294765,6.764151455426672e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-14,Ireland,992,31,10647,365,Ireland,Ireland,Europe,2020.0,4937796.0,0.0021562251660457417,7.391961919852501e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-15,Ireland,832,41,11479,406,Ireland,Ireland,Europe,2020.0,4937796.0,0.0023247213939174482,8.222291888931823e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-16,Ireland,1068,38,12547,444,Ireland,Ireland,Europe,2020.0,4937796.0,0.0025410122248873787,8.991866006615098e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-17,Ireland,724,42,13271,486,Ireland,Ireland,Europe,2020.0,4937796.0,0.002687636346256508,9.842447926159768e-05,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-18,Ireland,709,44,13980,530,Ireland,Ireland,Europe,2020.0,4937796.0,0.0028312226750558346,0.00010733533746635139,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2020-04-19,Ireland,778,41,14758,571,Ireland,Ireland,Europe,2020.0,4937796.0,0.0029887828496762523,0.00011563863715714461,7.31393980771791,382487490532.479,61390.0,100.85278000000001,99.88462,82.6073170731707,4867309.0
2019-12-31,Israel,0,0,0,0,Israel,Israel,Asia,2020.0,8655541.0,0.0,0.0,7.86318134790706,370587977153.58295,40920.0,104.90111999999999,97.32018000000001,82.8024390243903,8882800.0
